"Index","Feature_name","Mean","Stddev"
"1","N_1_objective","0.0228434914901554","0.018861275408103"
"2","N_9_solution_value","0.375342734837948","0.266484089500607"
"3","N_14_incumbent_value","0.4212","0.49380089901252"
"4","N_15_average_incumbent_value","0.522724835274244","0.39078553477374"
"5","N_20_solution_infeasibility","0.242343593437401","0.141972561995545"
"6","N_21_edge_mean","-0.29802438190283","0.0618871693607172"
"7","N_22_edge_min","-0.551167644624846","0.145600539853707"
"8","N_23_edge_max","-0.0468533838544953","0.0591029369607277"
"9","N_24_bias_mean","-0.574315840689145","0.13364500929066"
"10","N_25_bias_min","-1.45951142472987","0.389283057241649"
"11","N_26_bias_max","0.114617503476261","0.29797816548027"
"12","N_27_obj_cos_sim_mean","-0.369531802939216","0.073721743522182"
"13","N_28_obj_cos_sim_min","-0.894243995657304","0.135203246162893"
"14","N_29_obj_cos_sim_max","-0.0907924792205863","0.033843427866483"
"15","N_30_is_tight_mean","0.100464523816644","0.0508810009185252"
"16","N_33_dual_solution_mean","-0.000708175409567673","0.000612144149984795"
"17","N_34_dual_solution_min","-0.0137943224039903","0.01163411488817"
"18","N_36_scaled_age_mean","0.210997849281769","0.0513516760304948"
"19","N_38_scaled_age_max","0.325254653927682","0.0691404374875817"
"20","K_1_obj_coef","0.264116979405823","0.22857644293744"
"21","K_4_n_rows","0.537611441669829","0.208616871893253"
"22","K_5_rows_deg_mean","0.684852496321838","0.212226896726653"
"23","K_6_rows_deg_stddev","0.858432613479413","0.202885115759829"
"24","K_7_rows_deg_min","0.479731428571429","0.256379095008483"
"25","K_9_rows_pos_coefs_count","0.484809433085348","0.222104623658581"
"26","K_14_rows_neg_coefs_count","0.617196567600748","0.251699970746176"
"27","K_15_rows_neg_coefs_mean","0.537624825233656","0.224245606666434"
"28","K_16_rows_neg_coefs_stddev","0.521580413104313","0.199041006754942"
"29","K_17_rows_neg_coefs_min","0.581504698094174","0.222812781228045"
"30","K_18_rows_neg_coefs_max","0.755787462038218","0.229836369169488"
"31","K_21_pseudocost_up","0.486581618984074","0.27959137252379"
"32","K_22_pseudocost_down","0.291202244104611","0.263249426661043"
"33","K_23_pseudocost_ratio","0.259965140265481","0.2738306970019"
"34","K_24_pseudocost_sum","0.467901667946377","0.254760283863818"
"35","K_25_pseudocost_product","0.333992699823145","0.239359143968219"
"36","K_26_n_cutoff_up","0.0430419696969697","0.157449918839219"
"37","K_27_n_cutoff_down","0.0393140892440892","0.150242008315995"
"38","K_28_n_cutoff_up_ratio","0.0397504169677591","0.150288736281206"
"39","K_29_n_cutoff_down_ratio","0.0419798956228046","0.154956724889853"
"40","K_32_rows_dynamic_deg_min","0.501526666666667","0.250181334036983"
"41","K_34_rows_dynamic_deg_mean_ratio","0.26676580374214","0.225791361254911"
"42","K_35_rows_dynamic_deg_min_ratio","0.525926587629436","0.227122512666346"
"43","K_36_rows_dynamic_deg_max_ratio","0.147750401951322","0.245153467855595"
"44","K_37_coef_pos_rhs_ratio_min","0.0628","0.24138726884969"
"45","K_38_coef_pos_rhs_ratio_max","0.244055555555556","0.392061706068269"
"46","K_41_pos_coef_pos_coef_ratio_min","0.377043816206847","0.259836565705766"
"47","K_42_pos_coef_pos_coef_ratio_max","0.285494979729265","0.253585036075731"
